date,cpi_level
2014-07-01,237.909
2014-07-01,237.909
2014-07-01,237.909
2014-07-01,237.909
2014-08-01,237.428
2014-08-01,237.428
2014-08-01,237.428
2014-08-01,237.428
2014-08-01,237.428
2014-09-01,237.633
2014-09-01,237.633
2014-09-01,237.633
2014-09-01,237.633
2014-09-01,237.633
2014-09-01,237.633
2014-09-01,237.633
2014-09-01,237.633
2014-10-01,237.642
2014-10-01,237.642
2014-10-01,237.642
2014-10-01,237.642
2014-11-01,237.032
2014-11-01,237.032
2014-11-01,237.032
2014-11-01,237.032
2014-11-01,237.032
2014-12-01,236.149
2014-12-01,236.149
2014-12-01,236.149
2014-12-01,236.149
2014-12-01,236.149
2014-12-01,236.149
2014-12-01,236.149
2014-12-01,236.149
2015-01-01,234.677
2015-01-01,234.677
2015-01-01,234.677
2015-01-01,234.677
2015-01-01,234.677
2015-01-01,234.677
2015-02-01,235.186
2015-02-01,235.186
2015-02-01,235.186
2015-02-01,235.186
2015-02-01,235.186
2015-02-01,235.186
2015-02-01,235.186
2015-02-01,235.186
2015-03-01,235.74
2015-03-01,235.74
2015-03-01,235.74
2015-03-01,235.74
2015-03-01,235.74
2015-03-01,235.74
2015-03-01,235.74
2015-03-01,235.74
2015-03-01,235.74
2015-03-01,235.74
2015-04-01,235.982
2015-04-01,235.982
2015-04-01,235.982
2015-04-01,235.982
2015-04-01,235.982
2015-04-01,235.982
2015-04-01,235.982
2015-05-01,237.031
2015-05-01,237.031
2015-05-01,237.031
2015-05-01,237.031
2015-05-01,237.031
2015-05-01,237.031
2015-05-01,237.031
2015-06-01,237.786
2015-06-01,237.786
2015-06-01,237.786
2015-06-01,237.786
2015-06-01,237.786
2015-06-01,237.786
2015-06-01,237.786
2015-06-01,237.786
2015-07-01,238.099
2015-07-01,238.099
2015-07-01,238.099
2015-07-01,238.099
2015-07-01,238.099
2015-07-01,238.099
2015-07-01,238.099
2015-07-01,238.099
2015-07-01,238.099
2015-08-01,237.931
2015-08-01,237.931
2015-08-01,237.931
2015-08-01,237.931
2015-08-01,237.931
2015-08-01,237.931
2015-08-01,237.931
2015-09-01,237.566
2015-09-01,237.566
2015-09-01,237.566
2015-09-01,237.566
2015-09-01,237.566
2015-09-01,237.566
2015-10-01,238.042
2015-10-01,238.042
2015-10-01,238.042
2015-10-01,238.042
2015-10-01,238.042
2015-10-01,238.042
2015-10-01,238.042
2015-10-01,238.042
2015-10-01,238.042
2015-11-01,238.111
2015-11-01,238.111
2015-11-01,238.111
2015-11-01,238.111
2015-11-01,238.111
2015-11-01,238.111
2015-12-01,237.847
2015-12-01,237.847
2015-12-01,237.847
2015-12-01,237.847
2015-12-01,237.847
2015-12-01,237.847
2015-12-01,237.847
2015-12-01,237.847
2016-01-01,238.107
2016-01-01,238.107
2016-01-01,238.107
2016-01-01,238.107
2016-01-01,238.107
2016-01-01,238.107
2016-01-01,238.107
2016-01-01,238.107
2016-02-01,237.707
2016-02-01,237.707
2016-02-01,237.707
2016-02-01,237.707
2016-02-01,237.707
2016-02-01,237.707
2016-02-01,237.707
2016-02-01,237.707
2016-03-01,237.92
2016-03-01,237.92
2016-03-01,237.92
2016-03-01,237.92
2016-04-01,238.89
2016-04-01,238.89
2016-04-01,238.89
2016-04-01,238.89
2016-04-01,238.89
2016-04-01,238.89
2016-04-01,238.89
2016-05-01,239.41
2016-05-01,239.41
2016-05-01,239.41
2016-05-01,239.41
2016-05-01,239.41
2016-05-01,239.41
2016-06-01,239.927
2016-06-01,239.927
2016-06-01,239.927
2016-06-01,239.927
2016-06-01,239.927
2016-07-01,239.828
2016-07-01,239.828
2016-07-01,239.828
2016-07-01,239.828
