date,W_star
2009-01-01,37.3763618727042
2009-01-01,38.55814689898482
2009-01-01,29.137221720702662
2009-01-01,29.13802107680307
2009-01-01,27.967496082855043
2009-02-01,36.17395565657539
2009-02-01,37.358639292766334
2009-02-01,30.89580514208387
2009-02-01,29.72501345464289
2009-02-01,30.89580514208387
2009-02-01,29.723949098563484
2009-03-01,39.700734430830245
2009-03-01,38.523270514110536
2009-03-01,39.700734430830245
2009-03-01,31.479874760512626
2009-03-01,29.72819495379363
2009-03-01,30.89580514208387
2009-04-01,37.92374688423272
2009-04-01,37.34101338144623
2009-04-01,37.34394435381542
2009-04-01,37.346877993129155
2009-04-01,32.0634153303744
2009-05-01,32.64484401301006
2009-05-01,32.062358669570294
2009-05-01,30.89580514208387
2009-05-01,32.0634153303744
2009-05-01,33.81747705475948
