date,CFHI
2009-01-01,53.37799420453445
2009-01-01,53.57547285037821
2009-01-01,51.53233995937893
2009-01-01,49.68599091764091
2009-01-01,47.643616040883835
2009-02-01,47.309468300941255
2009-02-01,47.07397758433955
2009-02-01,46.90686088547056
2009-02-01,46.87884881610342
2009-02-01,46.849679084340465
2009-02-01,46.7520244140471
2009-03-01,47.86311957013638
2009-03-01,48.77852675921227
2009-03-01,49.889710611641505
2009-03-01,49.81973909485566
2009-03-01,49.701916253903214
2009-03-01,49.583272268914975
2009-04-01,50.559511906097704
2009-04-01,51.63316373527482
2009-04-01,52.60975896312517
2009-04-01,52.56168655553321
2009-04-01,51.90612384276162
2009-05-01,51.388406349217426
2009-05-01,50.821903940443775
2009-05-01,50.81424016812474
2009-05-01,50.7657877779051
2009-05-01,50.91204764333753
