"date","savings_rate","wage_yoy","inflation_yoy","borrow_rate","S_star","W_star","I_star","R_star","CFHI"
2009-08-01,3,0.36068530207396,0.451834616406854,0.16,13.5446685878963,33.7209889481339,41.9948467241487,97.9166666666667,46.7942927317114
2009-09-01,3.3,0.767841011743453,0.621097738961751,0.15,14.4092219020173,39.2276068632156,38.8081966818048,98.1060606060606,47.6377715132746
2009-10-01,4.4,0.314324202963623,0.444231947564844,0.12,17.5792507204611,33.0939736494142,42.1379791715574,98.6742424242424,47.8713614914188
2009-11-01,4.7,0.40394973070017,0.676117168927348,0.12,18.4438040345821,34.3061230187141,37.7723675763081,98.6742424242424,47.2991342634617
2009-12-01,4.8,0.358583594800543,0.534232964392167,0.12,18.7319884726225,33.6925641989552,40.4435655287347,98.6742424242424,47.8855901561387
2010-01-01,3.3,0.312919088064367,0.155120828538546,0.11,14.4092219020173,33.0749700331239,47.5809601693139,98.8636363636364,48.4821971170229
2010-02-01,3.1,0.357142857142856,0.0229841730984059,0.13,13.8328530259366,33.6730787991233,50.068644859858,98.4848484848485,49.0148562924416
2010-03-01,2.7,0.0890471950133476,0.0652612518211138,0.16,12.6801152737752,30.0471923360883,49.2727109749789,97.9166666666667,47.4791713128773
2010-04-01,3.6,0.222518914107694,-0.00551493398164293,0.2,15.2737752161383,31.852343883928,50.6051863073546,97.1590909090909,48.722599079128
2010-05-01,4,0.355713650511347,-0.231939704862483,0.2,16.4265129682997,33.6537493518025,54.8679961552654,97.1590909090909,50.5268373461146
2010-06-01,6.4,0.489759572573467,-0.367429235425698,0.18,23.342939481268,35.4666667648239,57.4188041032068,97.5378787878788,53.4415722842944
2010-07-01,5.9,0.44424700133272,0.00827285721507476,0.18,21.9020172910663,34.8511274657209,50.3456090011012,97.5378787878788,51.1591581364418
2010-08-01,5.8,0.53215077605322,0.426288071299674,0.19,21.6138328530259,36.0399908150084,42.4758014520229,97.3484848484848,49.3695274921355
2010-09-01,5.3,0.620567375886538,0.6651946028424,0.19,20.1729106628242,37.23578991857,37.978002419573,97.3484848484848,48.183796962363
2010-10-01,5.7,0.663129973474796,0.589162534409926,0.19,21.3256484149856,37.8114320054319,39.4094281810306,97.3484848484848,48.9737483624833
2010-11-01,5.3,0.441306266548991,0.456566582626627,0.19,20.1729106628242,34.8113552054799,41.9057598626575,97.3484848484848,48.5596276448616
2010-12-01,5.3,0.308370044052864,0.860916234682096,0.18,20.1729106628242,33.0134460346748,34.293228459508,97.5378787878788,46.2543659862214
2011-01-01,5.8,0.439367311072036,0.997354702826692,0.17,21.6138328530259,34.7851316091693,31.7245552380311,97.7272727272727,46.4626981068748
2011-02-01,5.8,0.483304042179267,0.916223235203306,0.16,21.6138328530259,35.3793583015607,33.2519853765933,97.9166666666667,47.0404607994616
2011-03-01,5.5,-0.087374399300999,1.09833440392288,0.14,20.7492795389049,27.6611609265147,29.8234502370307,98.2954545454545,44.1323363119762
2011-04-01,4.9,0.393700787401574,0.973140774733428,0.1,19.0201729106628,34.1675101651095,32.1804213110364,99.0530303030303,46.1052836724597
2011-05-01,5,0.480979449059893,0.587945769385656,0.09,19.3083573487032,35.347919110577,39.4323357361885,99.2424242424242,48.3327591094732
2011-06-01,5.4,0.261665939816824,-0.0574781783427514,0.09,20.4610951008646,32.381791728997,51.5834778119908,99.2424242424242,50.9171972210692
2011-07-01,5,0.434216239687357,0.276240636287617,0.07,19.3083573487032,34.7154654315986,45.3006853246437,99.6212121212121,49.7364300565394
2011-08-01,4.5,0.26052974381241,0.875597403523787,0.1,17.8674351585014,32.3664251330624,34.0168318847262,99.0530303030303,45.8259306198301
2011-09-01,3.6,-0.0432338953739619,0.678717977154264,0.08,15.2737752161383,28.2581435646869,37.7234031857112,99.4318181818182,45.1717850370886
2011-10-01,3.5,0.520156046814058,0.21876712570934,0.07,14.985590778098,35.877766905712,46.3827164378209,99.6212121212121,49.2168215607108
2011-11-01,3.5,0.172860847018153,-0.103544755568286,0.08,14.985590778098,31.1807384136632,52.4507550904114,99.4318181818182,49.5122256159977
2011-12-01,4,0.0861326442721744,-0.0070558248038699,0.07,16.4265129682997,30.0077742045366,50.6341960510589,99.6212121212121,49.1724238362768
2012-01-01,4.6,0.301464254952633,0.346242060691604,0.08,18.1556195965418,32.9200480027327,43.9827961195172,99.4318181818182,48.6225704751525
2012-02-01,3.7,0.34438226431337,0.743560002998933,0.1,15.5619596541787,33.5004968914817,36.5026479421314,99.0530303030303,46.1545336977055
2012-03-01,3.8,0.645438898450945,0.700204391112291,0.13,15.850144092219,37.5721673006769,37.3188869454595,98.4848484848485,47.306511705801
2012-04-01,3.4,0.214316330904407,0.325697250397261,0.14,14.6974063400576,31.7414072310838,44.3695851590092,98.2954545454545,47.2759633189013
2012-05-01,3.9,0.0427350427350426,-0.249238317226697,0.16,16.1383285302594,29.4208390236695,55.1936703067926,97.9166666666667,49.667376131847
2012-06-01,4.4,0.513259195893934,-0.243916274320721,0.16,17.5792507204611,35.7844897590763,55.0934743042866,97.9166666666667,51.5934703626227
2012-07-01,4.2,0.42698548249358,0.0857666708966587,0.16,17.0028818443804,34.617672336335,48.8866635384253,97.9166666666667,49.6059710964518
2012-08-01,3.7,0.213037920749892,0.649117742260019,0.13,15.5619596541787,31.7241172457231,38.2806751322248,98.4848484848485,46.0129001292438
2012-09-01,3.3,0.34042553191489,1.17653231201058,0.14,14.4092219020173,33.4469836703891,28.3512490667017,98.2954545454545,43.6257272961407
2012-10-01,3.4,0.38314176245211,0.716638708051209,0.16,14.6974063400576,34.0247035813587,37.0094845429822,97.9166666666667,45.9120652827663
2012-11-01,3.6,0.169563374311155,-0.16809700363849,0.16,15.2737752161383,31.1361414158768,53.6660548021345,97.9166666666667,49.4981595252041
2012-12-01,6.5,0.678829019940608,-0.187974798413226,0.16,23.6311239193084,38.0237553217094,54.0402862035437,97.9166666666667,53.402958027807
2013-01-01,2.4,0.507185122569753,0.0748836705984246,0.14,11.8155619596542,35.7023403499188,49.0915534922305,98.2954545454545,48.7262275868145
2013-02-01,2.6,0.379266750948171,0.775395165794301,0.15,12.3919308357349,33.9722956026371,35.9032998895928,98.1060606060606,45.0933967335064
2013-03-01,2.7,0.252525252525237,0.493948909592645,0.14,12.6801152737752,32.2581675940515,41.2019775383621,98.2954545454545,46.1089287379109
2013-04-01,2.5,0.378469301934392,-0.552047085105467,0.15,12.1037463976945,33.9615104240891,60.8945315364442,98.1060606060606,51.2664622410721
2013-05-01,3.2,0.3781512605042,-0.21907549281226,0.11,14.1210374639769,33.9572090411153,54.6258067092963,98.8636363636364,50.3919223945062
2013-06-01,4.4,0.628667225481983,0.630278419768016,0.09,17.5792507204611,37.345337140511,38.6353556255934,99.2424242424242,48.2005919322474
2013-07-01,4.4,0.376726663876092,0.641415513887278,0.09,17.5792507204611,33.9379419422443,38.4256819476472,99.2424242424242,47.2963247131942
2013-08-01,4.6,0.291909924937439,0.249845456418729,0.08,18.1556195965418,32.7908295156066,45.7976169644319,99.4318181818182,49.0439710645996
2013-09-01,4.9,0.458715596330284,0.269589144429494,0.08,19.0201729106628,35.046809418663,45.4259103381694,99.4318181818182,49.7311777123284
2013-10-01,4.8,0.291302538493543,0.120757431720664,0.09,18.7319884726225,32.7826148571997,48.2279062865301,99.2424242424242,49.7462334646941
2013-11-01,4.2,0.290697674418605,-0.02564683453945,0.08,17.0028818443804,32.7744343128228,50.9842016581094,99.4318181818182,50.0483339992827
2013-12-01,3.9,0.415454923140834,0.2714289988758,0.09,16.1383285302594,34.461726138861,45.3912721242411,99.2424242424242,48.8084377589464
2014-01-01,4.3,0.498132004981322,0.481164032026271,0.07,17.2910662824207,35.5799005601385,41.4426733852974,99.6212121212121,48.4837130872672
2014-02-01,4.3,0.579230450972257,0.25023232814112,0.07,17.2910662824207,36.6767245637647,45.7903334831163,99.6212121212121,49.8448341126285
2014-03-01,3.8,0.371747211895901,0.300936862850265,0.08,15.850144092219,33.870596848389,44.8357392085984,99.4318181818182,48.4970745827562
2014-04-01,4,-0.0411184210526327,0.461370333674926,0.09,16.4265129682997,28.2867545076752,41.8153215365153,99.2424242424242,46.4427533137286
2014-05-01,4.8,0.287947346770867,0.612374809030736,0.09,18.7319884726225,32.7372372328416,38.9724198428481,99.2424242424242,47.4210174476841
2014-06-01,5.3,0.575894693541756,0.871244270921756,0.1,20.1729106628242,36.6316097804253,34.0987865951275,99.0530303030303,47.4890843353518
2014-07-01,5.7,0.246002460024597,0.348401192831194,0.09,21.3256484149856,32.169949437736,43.9421469903969,99.2424242424242,49.1700422713857
2014-08-01,5.4,0.24519820187987,-0.111488348415822,0.09,20.4610951008646,32.1590721684188,52.6003059795944,99.2424242424242,51.1157243728255
2014-09-01,5.6,0.327198364008185,-0.116010743603634,0.09,21.0374639769452,33.2680915216827,52.6854473299323,99.2424242424242,51.5583567677461
2014-10-01,5,0.122249388753071,0.0901325875633852,0.09,19.3083573487032,30.4962387095644,48.8044681474808,99.2424242424242,49.4628721120431
2014-11-01,4.4,0.529963310232362,-0.252911001418155,0.09,17.5792507204611,36.0104062158202,55.2628144833714,99.2424242424242,52.0237239155192
